Domain,Area,Element,Item,Year,Unit,Value
Crops and livestock products,Netherlands (Kingdom of the),Production,Cauliflowers and broccoli,2008,t,66000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cauliflowers and broccoli,2009,100 g/ha,126203.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cauliflowers and broccoli,2009,t,59000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cauliflowers and broccoli,2010,100 g/ha,129840.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cauliflowers and broccoli,2010,t,60700.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cauliflowers and broccoli,2011,100 g/ha,121925.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cauliflowers and broccoli,2011,t,57000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cauliflowers and broccoli,2012,100 g/ha,117778.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cauliflowers and broccoli,2012,t,53000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cauliflowers and broccoli,2013,100 g/ha,121429.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cauliflowers and broccoli,2013,t,51000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cauliflowers and broccoli,2014,100 g/ha,124612.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cauliflowers and broccoli,2014,t,52200.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cauliflowers and broccoli,2015,100 g/ha,150195.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cauliflowers and broccoli,2015,t,65500.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cauliflowers and broccoli,2016,100 g/ha,145221.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cauliflowers and broccoli,2016,t,62300.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cauliflowers and broccoli,2017,100 g/ha,143089.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cauliflowers and broccoli,2017,t,70400.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cauliflowers and broccoli,2018,100 g/ha,141475.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cauliflowers and broccoli,2018,t,70030.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cauliflowers and broccoli,2019,100 g/ha,141009.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cauliflowers and broccoli,2019,t,65710.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cauliflowers and broccoli,2020,100 g/ha,143033.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cauliflowers and broccoli,2020,t,69800.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cauliflowers and broccoli,2021,100 g/ha,136201.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cauliflowers and broccoli,2021,t,76000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cauliflowers and broccoli,2022,100 g/ha,147290.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cauliflowers and broccoli,2022,t,78800.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1961,t,9308.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1962,t,6215.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1963,t,6940.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1964,t,11198.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1965,t,2684.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1966,t,4058.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1967,t,3701.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1968,t,7437.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1969,t,5353.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1970,t,8008.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1971,t,7556.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1972,t,1600.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1973,t,3100.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1974,t,5900.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1975,t,2200.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1976,t,3300.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1977,t,1350.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1978,t,3100.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1979,t,1400.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1980,t,3800.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1981,t,1100.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1982,t,3900.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1983,t,2800.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1984,t,3600.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,1985,100 g/ha,36000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1985,t,1800.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,1986,100 g/ha,58000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1986,t,2900.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,1987,100 g/ha,56000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1987,t,2800.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,1988,100 g/ha,34000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1988,t,1700.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,1989,100 g/ha,10000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1989,t,500.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,1990,100 g/ha,15000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1990,t,900.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,1991,100 g/ha,10000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1991,t,600.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,1992,100 g/ha,16000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1992,t,800.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,1993,100 g/ha,26000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1993,t,1300.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,1994,100 g/ha,6000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1994,t,300.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,1995,100 g/ha,22500.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1995,t,900.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,1996,100 g/ha,17500.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1996,t,700.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,1997,100 g/ha,16667.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1997,t,500.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,1998,100 g/ha,3333.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1998,t,100.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,1999,100 g/ha,6667.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,1999,t,200.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2000,100 g/ha,6667.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2000,t,200.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2001,100 g/ha,4000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2001,t,200.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2002,100 g/ha,4000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2002,t,200.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2003,100 g/ha,5708.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2003,t,220.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2004,100 g/ha,4505.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2004,t,250.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2005,100 g/ha,4950.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2005,t,300.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2006,100 g/ha,5738.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2006,t,350.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2007,100 g/ha,5143.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2007,t,360.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2008,100 g/ha,5286.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2008,t,370.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2009,100 g/ha,4483.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2009,t,316.97
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2010,100 g/ha,4409.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2010,t,313.05
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2011,100 g/ha,4728.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2011,t,334.73
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2012,100 g/ha,4704.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2012,t,329.29
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2013,100 g/ha,4724.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2013,t,346.74
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2014,100 g/ha,3868.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2014,t,309.45
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2015,100 g/ha,3808.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2015,t,317.95
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2016,100 g/ha,4141.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2016,t,341.2
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2017,100 g/ha,4146.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2017,t,337.5
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2018,100 g/ha,149091.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2018,t,8200.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2019,100 g/ha,149811.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2019,t,7940.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2020,100 g/ha,149091.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2020,t,8200.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2021,100 g/ha,149273.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2021,t,8210.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cherries,2022,100 g/ha,149091.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cherries,2022,t,8200.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1961,t,0.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1962,t,0.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1963,t,0.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1964,t,0.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1965,t,0.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1966,t,0.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1967,t,0.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1968,t,0.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1969,t,0.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1970,t,0.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1971,t,0.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1972,t,0.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1973,t,0.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1974,t,0.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1975,t,0.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1976,t,0.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1977,100 g/ha,1130000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1977,t,22600.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1978,100 g/ha,1360000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1978,t,27200.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1979,100 g/ha,1400000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1979,t,28000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1980,100 g/ha,1450000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1980,t,29000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1981,100 g/ha,1700000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1981,t,34000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1982,100 g/ha,2000000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1982,t,40000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1983,100 g/ha,2230000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1983,t,44600.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1984,100 g/ha,2250000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1984,t,45000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1985,100 g/ha,2550000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1985,t,51000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1986,100 g/ha,1180000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1986,t,59000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1987,100 g/ha,1326000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1987,t,66300.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1988,100 g/ha,1260000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1988,t,75600.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1989,100 g/ha,1471429.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1989,t,103000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1990,100 g/ha,2258571.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1990,t,158100.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1991,100 g/ha,2407143.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1991,t,168500.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1992,100 g/ha,2487500.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1992,t,199000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1993,100 g/ha,2370000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1993,t,237000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1994,100 g/ha,2393878.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1994,t,234600.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1995,100 g/ha,2443000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1995,t,244300.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1996,100 g/ha,2526000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1996,t,252600.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1997,100 g/ha,2512000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1997,t,251200.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1998,100 g/ha,2500000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1998,t,250000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1999,100 g/ha,2590909.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1999,t,285000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2000,100 g/ha,2375000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2000,t,285000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2001,100 g/ha,2458333.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2001,t,295000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2002,100 g/ha,2510121.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2002,t,310000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2003,100 g/ha,2596867.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2003,t,315000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2004,100 g/ha,2639004.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2004,t,318000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2005,100 g/ha,2791262.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2005,t,345000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2006,100 g/ha,2650000.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2006,t,318000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2007,100 g/ha,2666667.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2007,t,320000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2008,100 g/ha,2576923.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2008,t,335000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2009,100 g/ha,2779865.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2009,t,370000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2010,100 g/ha,2601568.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2010,t,365000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2011,100 g/ha,2689757.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2011,t,365000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2012,100 g/ha,2627570.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2012,t,345000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2013,100 g/ha,2708333.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2013,t,325000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2014,100 g/ha,2833333.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2014,t,340000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2015,100 g/ha,2812500.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2015,t,360000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2016,100 g/ha,2775665.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2016,t,365000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2017,100 g/ha,2805155.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2017,t,370000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2018,100 g/ha,2709924.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2018,t,355000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2019,100 g/ha,2766667.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2019,t,415000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2020,100 g/ha,2810458.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2020,t,430000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2021,100 g/ha,2699387.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2021,t,440000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2022,100 g/ha,2636364.0
Crops and livestock products,Netherlands (Kingdom of the),Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2022,t,435000.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cucumbers and gherkins,1961,100 g/ha,666882.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cucumbers and gherkins,1961,t,145647.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cucumbers and gherkins,1962,100 g/ha,589224.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cucumbers and gherkins,1962,t,170168.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cucumbers and gherkins,1963,100 g/ha,558891.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cucumbers and gherkins,1963,t,189967.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cucumbers and gherkins,1964,100 g/ha,860099.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cucumbers and gherkins,1964,t,200833.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cucumbers and gherkins,1965,100 g/ha,988781.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cucumbers and gherkins,1965,t,214071.0
Crops and livestock products,Netherlands (Kingdom of the),Yield,Cucumbers and gherkins,1966,100 g/ha,1183943.0
Crops and livestock products,Netherlands (Kingdom of the),Production,Cucumbers and gherkins,1966,t,272307.0
