Year,Cloud cover,potential evapo-transpiration,Precipitation rate,Minimum 2m temperature,Mean 2m temperature,Maximum 2m temperature,Vapour pressure,Frost days,Wet days,cld_MAM,cld_JJA,cld_SON,cld_DJF,dtr_MAM,dtr_JJA,dtr_SON,dtr_DJF,frs_MAM,frs_JJA,frs_SON,frs_DJF,pet_MAM,pet_JJA,pet_SON,pet_DJF,pre_MAM,pre_JJA,pre_SON,pre_DJF,tmn_MAM,tmn_JJA,tmn_SON,tmn_DJF,tmp_MAM,tmp_JJA,tmp_SON,tmp_DJF,tmx_MAM,tmx_JJA,tmx_SON,tmx_DJF,vap_MAM,vap_JJA,vap_SON,vap_DJF,wet_MAM,wet_JJA,wet_SON,wet_DJF,wind_speed_10m_max
1993.0,76.49166666666666,1.575,73.925,5.858333333333333,9.441666666666666,13.091666666666669,10.291666666666666,78.3,190.0,66.7,71.1,81.5,85.4,9.0,8.9,6.0,5.1,17.6,0.0,21.3,40.0,2.2,2.8,0.9,0.6,121.7,231.6,277.7,262.0,5.6,11.1,5.1,1.5,10.1,15.6,8.1,4.0,14.6,20.0,11.2,6.6,9.7,14.4,9.9,7.1,32.8,42.9,51.6,66.7,22.117634
1994.0,75.34166666666667,1.725,74.425,6.833333333333333,10.5,14.258333333333333,10.841666666666669,62.5,202.9,77.2,61.3,80.4,83.7,7.9,9.7,6.7,5.4,16.1,0.0,7.1,32.8,1.8,3.5,1.0,0.6,219.2,171.7,279.8,326.9,5.3,13.0,7.4,2.6,9.2,17.8,10.7,5.3,13.2,22.7,14.1,8.0,9.4,15.4,11.3,7.8,51.8,34.3,56.8,71.9,22.2865
1995.0,72.85833333333333,1.741666666666667,65.97500000000001,6.391666666666667,10.191666666666666,14.025,10.775,78.1,179.9,70.5,59.1,78.1,83.2,8.6,9.8,7.1,4.8,22.0,0.0,9.4,68.9,2.0,3.4,1.1,0.5,167.2,179.1,184.4,97.3,4.4,12.9,7.5,-2.6,8.7,17.7,11.0,-0.1,13.0,22.6,14.6,2.3,8.9,15.7,11.7,5.2,46.1,30.8,43.6,29.3,21.685417
1996.0,75.96666666666667,1.625,49.025,4.616666666666666,8.291666666666666,12.008333333333333,9.416666666666666,110.1,151.9,73.5,69.6,78.1,82.4,8.5,9.3,6.9,5.2,31.1,0.0,11.3,55.4,1.9,3.0,1.1,0.5,72.3,180.5,237.9,120.2,3.1,11.5,6.3,-0.7,7.3,16.1,9.7,1.9,11.6,20.8,13.2,4.6,7.9,14.2,10.3,6.1,30.1,38.2,54.9,31.7,20.189564
1997.0,73.22500000000001,1.75,55.05,6.15,9.983333333333333,13.866666666666667,10.508333333333333,77.6,166.7,70.0,64.8,73.2,82.5,8.6,9.3,7.7,5.4,20.2,0.0,13.2,31.4,2.0,3.3,1.2,0.7,138.1,204.5,152.3,188.0,4.7,13.0,6.2,2.7,9.0,17.6,10.0,5.4,13.3,22.3,13.9,8.1,9.1,15.5,10.6,7.6,39.4,44.6,38.9,50.5,20.498775
1998.0,79.90833333333333,1.5916666666666666,86.09166666666665,6.65,10.108333333333333,13.616666666666667,10.625,63.9,214.3,78.2,75.4,85.3,82.6,8.0,8.5,5.9,5.0,13.5,0.0,16.9,38.7,1.9,2.8,0.9,0.5,210.2,272.9,361.2,235.3,6.1,11.7,6.3,1.7,10.0,16.0,9.3,4.2,14.1,20.3,12.3,6.7,10.0,14.3,10.7,7.3,47.6,50.6,67.4,65.0,22.722187
1999.0,74.16666666666667,1.7833333333333332,75.71666666666667,7.033333333333334,10.75,14.508333333333333,10.916666666666666,60.900000000000006,204.2,71.9,66.4,75.1,82.6,8.3,9.5,7.1,5.1,13.6,0.0,10.4,33.4,2.0,3.3,1.3,0.7,167.7,237.0,201.6,286.5,5.9,12.3,7.9,2.5,10.0,17.1,11.5,5.0,14.2,21.8,15.1,7.6,10.0,14.7,11.7,7.4,46.1,39.7,47.3,62.5,22.14076
2000.0,77.68333333333334,1.7166666666666668,72.24166666666666,7.291666666666667,10.783333333333331,14.308333333333335,10.883333333333333,49.4,204.8,74.9,70.5,84.1,82.0,8.3,8.7,6.2,4.9,13.1,0.0,5.1,37.9,2.1,2.9,1.2,0.5,193.5,182.9,285.2,211.8,6.2,11.8,8.4,1.8,10.3,16.1,11.5,4.3,14.5,20.4,14.7,6.8,9.9,14.4,11.7,7.3,45.5,40.6,61.6,56.3,22.27444
2001.0,76.14166666666667,1.675,76.86666666666666,6.516666666666667,10.116666666666667,13.783333333333331,10.683333333333332,74.6,208.1,73.8,66.8,82.7,79.4,8.1,9.3,6.4,5.3,21.2,0.1,7.8,36.2,2.0,3.2,1.0,0.6,182.1,224.4,299.4,264.3,4.8,12.4,8.0,2.1,8.8,17.0,11.2,4.8,12.8,21.7,14.4,7.4,9.1,14.9,11.8,7.5,51.1,45.5,58.5,55.6,21.500578
2002.0,76.27499999999999,1.6916666666666669,75.925,7.008333333333333,10.608333333333333,14.258333333333333,10.825,61.7,195.8,70.8,74.2,78.6,80.0,8.5,8.5,7.0,5.4,16.8,0.0,9.2,54.9,2.1,3.1,1.2,0.4,136.5,281.7,223.1,176.6,5.5,13.3,7.1,-0.5,9.7,17.5,10.6,2.2,14.0,21.8,14.1,4.9,9.4,15.4,10.9,6.5,39.7,47.1,55.0,45.2,21.129425
