 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1983    92.3    40.0    76.2    79.4   115.6    50.3    19.5    21.9   106.3    65.6    69.1    59.8   271.1    91.8   241.0   242.0   796.0
 1984   124.1    58.2    50.9    17.5    86.3    62.4    60.7    21.9   138.2    99.5    68.1    46.1   154.7   144.9   305.8   121.9   833.9
 1985    68.2     7.6    56.5    58.5    46.0   123.0    82.5    92.2    45.2    30.0    82.6    78.8   161.0   297.8   157.7   182.7   771.1
 1986    99.5     4.3    74.3    45.7    48.0    66.1    50.1    73.6    48.1    98.2    70.3   109.7   167.9   189.7   216.7   188.3   787.9
 1987    42.5    36.0    74.6    28.8    73.2    90.7   121.0    75.3    75.1    89.1    90.8    47.0   176.6   287.0   255.0   255.4   844.1
 1988   125.5    83.0   109.3    14.2    45.5    27.4   135.2    68.8    87.5    71.5    54.5    71.4   169.0   231.4   213.5   150.7   893.7
 1989    24.8    54.5    82.0    71.1    13.1    70.5    53.0    51.9    47.9    81.5    31.4    85.1   166.2   175.4   160.8   230.0   666.9
 1990    53.6    91.3    36.6    47.0    27.7    75.5    42.4    59.8    97.2    59.0    90.6    67.8   111.3   177.6   246.8   146.8   748.4
 1991    52.1    26.9    24.8    36.5    36.6   115.2    54.4    23.3    64.2    51.0   104.3    54.0    97.9   192.9   219.5   125.6   643.3
 1992    39.9    31.7    87.7    54.1    46.8    51.2    67.9   109.1    52.2    92.9   121.6    52.4   188.6   228.2   266.7   163.6   807.5
 1993    83.8    27.3    13.4    42.8    65.5    39.6   128.1    64.0   128.5    97.7    51.4   145.0   121.7   231.6   277.7   262.0   887.2
 1994    89.7    27.2    95.8    58.3    65.1    52.7    48.5    70.5   124.9   103.7    51.3   105.4   219.2   171.7   279.8   326.9   892.9
 1995   129.7    91.8    84.4    31.3    51.5    66.8    59.2    53.1   112.4    30.0    42.1    39.4   167.2   179.1   184.4    97.3   791.7
