 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1995     0.8     3.6     1.5     4.5     7.3    10.0    14.7    14.0    10.2     9.1     3.3    -2.3     4.4    12.9     7.5    -2.6     6.4
 1996    -2.6    -2.8    -0.7     3.6     6.4    10.2    11.4    12.8     8.1     7.0     3.6    -1.6     3.1    11.5     6.3    -0.7     4.6
 1997    -3.4     3.0     3.7     2.6     7.6    10.9    13.0    15.1     9.5     5.4     3.6     2.8     4.7    13.0     6.2     2.7     6.2
 1998     2.3     3.0     3.6     5.3     9.3    11.4    12.1    11.8    11.1     6.8     1.1     2.0     6.1    11.7     6.3     1.7     6.6
 1999     2.7     0.4     3.8     5.2     8.8    10.1    13.9    13.0    13.1     7.1     3.6     2.7     5.9    12.3     7.9     2.5     7.0
 2000     2.0     2.8     3.6     5.5     9.5    11.1    11.5    12.7    11.5     8.3     5.5     3.5     6.2    11.8     8.4     1.8     7.3
 2001     0.7     1.3     2.1     3.6     8.6     9.6    13.7    13.9     9.6    10.6     3.9     0.6     4.8    12.4     8.0     2.1     6.5
 2002     2.0     3.9     3.1     4.3     9.0    11.8    13.2    14.7    10.4     5.9     5.0     0.8     5.5    13.3     7.1    -0.5     7.0
 2003    -0.2    -2.2     2.6     4.0     8.6    12.6    14.0    14.2     9.4     3.4     5.3     2.1     5.1    13.6     6.1     1.6     6.2
 2004     0.8     1.9     2.1     5.3     7.2    10.6    12.1    14.3    10.9     7.8     3.7     1.5     4.9    12.3     7.5     1.2     6.5
 2005     2.6    -0.5     2.1     5.1     7.5    10.9    13.4    11.8    11.3     9.2     4.2     2.1     4.9    12.0     8.2     0.2     6.6
 2006    -1.6    -0.1    -0.2     3.9     8.8    11.0    14.3    12.4    13.4    10.1     6.2     4.9     4.2    12.6     9.9     4.3     6.9
 2007     4.7     3.1     4.0     6.1     9.1    12.6    12.8    12.7     9.8     6.2     3.9     2.3     6.4    12.7     6.6     2.7     7.3
 2008     3.8     2.0     2.5     3.9     9.5    11.2    13.2    13.3     9.4     6.7     4.5     1.2     5.3    12.6     6.9    -0.0     6.8
 2009    -1.7     0.4     2.5     6.4     8.3    10.2    13.3    13.5    10.8     6.5     6.8     0.5     5.8    12.4     8.0    -1.3     6.5
 2010    -3.2    -1.3     2.1     4.1     6.0    10.6    14.8    12.6     9.3     6.3     3.7    -3.4     4.0    12.6     6.4    -0.4     5.1
 2011     1.3     1.0     1.9     6.6     8.4    11.1    12.0    12.8    11.1     7.1     4.3     4.2     5.6    12.0     7.5     1.3     6.8
 2012     2.3    -2.7     3.8     3.7     8.9    10.4    12.7    13.5     9.5     6.7     4.3     2.3     5.5    12.2     6.8     0.6     6.3
 2013     0.2    -0.7    -1.5     3.3     7.2    10.3    13.7    13.1    10.1     8.6     4.3     3.9     3.0    12.4     7.7     3.2     6.0
 2014     2.5     3.2     3.7     6.5     8.4    11.0    14.7    11.8    11.6     9.8     5.7     3.0     6.2    12.5     9.1     1.8     7.7
 2015     2.0     0.4     2.6     3.3     7.1    10.1    13.6    13.9     9.3     6.6     6.9     7.2     4.3    12.5     7.6     3.6     6.9
 2016     1.5     1.9     1.9     3.8     9.1    12.0    13.8    12.8    12.7     6.5     2.8     2.8     4.9    12.8     7.4     1.2     6.8
 2017    -1.2     2.0     4.5     3.4     9.3    12.4    13.5    12.9     9.9     9.5     4.6     3.2     5.7    12.9     8.0     1.4     7.0
 2018     3.2    -2.3     0.5     6.6    10.2    12.2    14.7    13.9    10.2     7.8     4.2     4.5     5.8    13.6     7.4     2.7     7.1
 2019     1.1     2.4     4.4     4.8     6.4    12.6    13.8    13.8    10.3     8.2     4.1     3.8     5.2    13.4     7.5     3.8     7.1
 2020     3.5     4.0     2.9     4.9     6.9    12.1    12.2    15.2    10.4     8.2     5.7     3.9     4.9    13.2     8.1     1.7     7.5
 2021     1.0     0.3     2.4     1.6     6.5    13.0    13.8    12.7    11.4     7.7     4.9     3.2     3.5    13.2     8.0     3.2     6.5
 2022     3.1     3.4     2.9     3.9     8.7    11.6    13.0    14.6    10.2     9.5     5.6     1.8     5.2    13.1     8.4     2.5     7.4
 2023     3.5     2.3     3.5     3.9     7.9    12.7    13.6    13.4    12.8     9.3     5.0     4.8     5.1    13.2     9.0  -999.0     7.7
